SKU,Velocity_Old,Velocity_New,SlotTier_Old,SlotTier_New,ProductGroupCode_Old,ProductGroupCode_New,SizeGroupCode_Old,SizeGroupCode_New,FD14_Old,FD14_New,FD14Delta,RankDelta,PutawayIndicator_Old,PutawayIndicator_New
84505-5ZU-120,AA,C,GIRMAA,GIRMC,GIR,GIR,M,M,154,13,-141,-3,0,0
84433-68I-150,AA,C,KUSLAA,KUSLC,KUS,KUS,L,L,63,0,-63,-3,0,0
84505-5ZX-120,AA,C,GIRMAA,GIRMC,GIR,GIR,M,M,48,13,-35,-3,0,0
84949-6SP-60,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6SP-70,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6SP-75,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6ZD-60,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6ZD-70,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6ZD-75,AA,C,BSLIAA,BSLIC,BSL,BSL,I,I,0,0,0,-3,2,2
84949-6ZD-80,AA,C,BSLXAA,BSLXC,BSL,BSL,X,X,0,0,0,-3,2,2
45346-5HB-120,AA,B,GIRMAA,GIRMB,GIR,GIR,M,M,555,59,-496,-2,0,0
82897-1SA-120,A,C,GIRMA,GIRMC,GIR,GIR,M,M,283,36,-247,-2,0,0
84505-5ZU-130,A,C,GIRMA,GIRMC,GIR,GIR,M,M,154,13,-141,-2,0,1
84505-5ZX-110,A,C,GIRSA,GIRSC,GIR,GIR,S,S,48,0,-48,-2,0,0
84505-5ZX-100,A,C,GIRSA,GIRSC,GIR,GIR,S,S,48,13,-35,-2,0,0
84082-6AN-120,A,C,KUSMA,KUSMC,KUS,KUS,M,M,26,56,30,-2,0,1
82768-5YM-120,A,C,GIRMA,GIRMC,GIR,GIR,M,M,0,27,27,-2,0,1
84608-6CN-130,A,C,KUSMA,KUSMC,KUS,KUS,M,M,27,0,-27,-2,0,0
84657-5HR-130,A,C,GIRMA,GIRMC,GIR,GIR,M,M,3,27,24,-2,0,0
84082-5UC-140,AA,B,KUSLAA,KUSLB,KUS,KUS,L,L,4,22,18,-2,0,0
84505-5ZU-150,A,C,GIRLA,GIRLC,GIR,GIR,L,L,154,162,8,-2,0,0
84280-5LB-100,A,C,GIRSA,GIRSC,GIR,GIR,S,S,0,6,6,-2,0,0
84420-4DQ-50,AA,B,BSLIAA,BSLIB,BSL,BSL,I,I,0,6,6,-2,0,0
65642-5LG-90,A,C,GIRXA,GIRXC,GIR,GIR,X,X,0,0,0,-2,0,0
80039-2CH-XL,A,C,ASLLA,ASLLC,ASL,ASL,L,L,0,0,0,-2,0,0
80039-2GG-XXL,A,C,ASLLA,ASLLC,ASL,ASL,L,L,0,0,0,-2,0,0
81318-1EP-85,A,C,KUSXA,KUSXC,KUS,KUS,X,X,0,0,0,-2,0,0
81666-42A-70,A,C,BSLIA,BSLIC,BSL,BSL,I,I,0,0,0,-2,0,0
83649-3WU-85,A,C,CSLXA,CSLXC,CSL,CSL,X,X,0,0,0,-2,0,0
84091-5KH-85,A,C,KUSXA,KUSXC,KUS,KUS,X,X,0,0,0,-2,0,0
84171-5MO-85,AA,B,BSLXAA,BSLXB,BSL,BSL,X,X,0,0,0,-2,0,0
