schema_name,table_name,column_id,column_name,data_type,is_nullable,is_identity,is_computed,default_definition,column_description,is_primary_key,primary_key_names,references_columns
dbo,Allocation_Day_Of_Week_Contributions,1,Division,varchar(50),True,False,False,,,0,,
dbo,Allocation_Day_Of_Week_Contributions,2,Department,varchar(50),True,False,False,,,0,,
dbo,Allocation_Day_Of_Week_Contributions,3,DayOfWeek,int,True,False,False,,,0,,
dbo,Allocation_Day_Of_Week_Contributions,4,DayOfWeek_Percent_Contribution,"decimal(18,4)",True,False,False,,,0,,
dbo,Allocation_Minimums,1,Channel,varchar(50),True,False,False,,,0,,
dbo,Allocation_Minimums,2,OfferID,varchar(50),True,False,False,,,0,,
dbo,Allocation_Minimums,3,Min_Type,varchar(50),True,False,False,,,0,,
dbo,Allocation_Minimums,4,SizeID,varchar(50),True,False,False,,,0,,
dbo,Allocation_Minimums,5,Min_Value,float,True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,1,Parameter_Level,varchar(50),False,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,2,Parameter_Value,varchar(50),False,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,3,Initial_Allocation_WOS,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,4,Allocation_Max_WOS,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,5,Allocation_Min_Qty,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,6,Allocation_Max_Limit_Qty,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,7,Allocation_Avail_Inventory_Threshold,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,8,Allocaiton_Cutoff_Threshold,varchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,9,Allocation_Start_Date,date,True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,10,Allocation_Stop_Date,date,True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,11,Last Updated Date,datetime,True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,12,Last Update User,nvarchar(50),True,False,False,,,0,,
dbo,Allocation_Parameter_Control_Table,13,Status,nvarchar(50),True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,1,Channel,nvarchar(50),True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,2,Division,nvarchar(50),True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,3,Department,nvarchar(50),True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,4,Intended_Percent_Complete_Start,float,True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,5,Intended_Percent_Complete_End,float,True,False,False,,,0,,
dbo,Allocation_Progression_Adjustment_Control_Table,6,Forecast_Adjustment_FActor,float,True,False,False,,,0,,
dbo,Allocation_System_Parameters,1,Allocation_CostOfMoney,float,True,False,False,,,0,,
dbo,Allocation_System_Parameters,2,Allocation_Process_Active_Flag,nchar(10),True,False,False,,,0,,
dbo,Allocation_System_Parameters,3,Allocation_Max_WOS,float,True,False,False,,,0,,
dbo,Allocation_System_Parameters,4,Allocation_Min_Store_Qty,float,True,False,False,,,0,,
dbo,Amazon_Launch,1,Style,nvarchar(50),True,False,False,,,0,,
dbo,Amazon_Launch,2,CC,nvarchar(50),True,False,False,,,0,,
dbo,Amazon_Launch,3,Division,nvarchar(50),True,False,False,,,0,,
dbo,Amazon_Launch,4,Department,nvarchar(50),True,False,False,,,0,,
dbo,Amazon_Launch,5,Size_Range,nvarchar(50),True,False,False,,,0,,
dbo,Amazon_Launch,6,Size_Count,tinyint,True,False,False,,,0,,
dbo,Amazon_Launch,7,Amazon_Total_Forecast,int,True,False,False,,,0,,
dbo,Amazon_Launch,8,Amazon_Launch_Forecast,int,True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,1,Offer,nvarchar(50),True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,2,Division,nvarchar(50),True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,3,Department,nvarchar(50),True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,4,DirectAvgQtyPerWeek,float,True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,5,RetailAvgQtyPerWeek,float,True,False,False,,,0,,
dbo,AutoLoad_Offer_APW,6,TotalAvgQtyPerWeek,float,True,False,False,,,0,,
dbo,Autoload_offer_apw_2,1,OFFER,nvarchar(41),False,False,False,,,0,,
dbo,Autoload_offer_apw_2,2,DIVISION,nvarchar(500),True,False,False,,,0,,
dbo,Autoload_offer_apw_2,3,DEPARTMENT,nvarchar(500),True,False,False,,,0,,
dbo,Autoload_offer_apw_2,4,DIRECT AVG QTY PER WEEK,float,True,False,False,,,0,,
dbo,Autoload_offer_apw_2,5,RETAIL AVG QTY PER WEEK,float,True,False,False,,,0,,
dbo,Autoload_offer_apw_2,6,TOTAL AVG QTY PER WEEK,float,True,False,False,,,0,,
dbo,autoload_offer_average_apw,1,MODEL_ID,nvarchar(53),False,False,False,,,0,,
dbo,autoload_offer_average_apw,2,NAME,nvarchar(41),False,False,False,,,0,,
dbo,autoload_offer_average_apw,3,DIVISION,nvarchar(500),True,False,False,,,0,,
dbo,autoload_offer_average_apw,4,DEPARTMENT,nvarchar(500),True,False,False,,,0,,
dbo,autoload_offer_average_apw,5,DIRECT AVG QTY PER WEEK,float,True,False,False,,,0,,
dbo,autoload_offer_average_apw,6,RETAIL AVG QTY PER WEEK,float,True,False,False,,,0,,
