schema_name,table_name,row_count,column_count,outbound_fk_count,inbound_fk_count,create_date,modify_date,table_description
dbo,Allocation_Day_Of_Week_Contributions,1561,4,0,0,2019-08-19 14:46:44.643000,2019-08-19 14:46:44.660000,
dbo,Allocation_Minimums,745037,5,0,0,2019-08-13 13:45:56.513000,2019-09-11 13:37:38.723000,
dbo,Allocation_Parameter_Control_Table,104,13,0,0,2019-08-12 08:44:54.653000,2019-08-12 09:45:47.550000,
dbo,Allocation_Progression_Adjustment_Control_Table,8,6,0,0,2019-08-16 08:27:38.773000,2019-08-16 08:27:39.103000,
dbo,Allocation_System_Parameters,1,4,0,0,2019-07-24 16:13:14.613000,2019-07-24 16:13:14.630000,
dbo,Amazon_Launch,343,8,0,0,2019-07-24 16:46:19.567000,2019-07-24 16:46:19.567000,
dbo,AutoLoad_Offer_APW,0,6,0,0,2019-09-12 13:40:11.057000,2019-09-12 13:40:11.057000,
dbo,Autoload_offer_apw_2,3751,6,0,0,2019-09-28 18:31:14.780000,2019-09-28 18:31:14.780000,
dbo,autoload_offer_average_apw,0,9,0,0,2019-09-28 17:59:20.813000,2019-09-28 17:59:20.813000,
dbo,AutoLoad_Size_Distribution_Library,22381,14,0,0,2019-09-12 12:33:45.640000,2019-09-12 13:40:27.547000,
dbo,AutoLoad_Store_Groups,217693,11,0,0,2019-09-28 03:18:59.463000,2019-09-28 03:18:59.463000,
dbo,Calculated_Immediate_Need_to_Cut_not_Available,0,10,0,0,2019-08-19 18:27:32.727000,2019-08-19 18:27:33.007000,
dbo,Calculated_Immediate_Order_Need,0,4,0,0,2019-08-16 14:58:28.857000,2019-08-16 14:58:28.940000,
dbo,Calendar_Lookup,6937,8,0,0,2019-07-29 13:41:07.833000,2019-08-11 19:53:41.227000,
dbo,Channel_Offer_Demand_History,798916,18,0,0,2019-08-20 09:44:18.997000,2019-09-11 13:40:48.187000,
dbo,Channel_Offer_Demand_History_BACKUP,1238149,18,0,0,2019-10-04 13:29:56.130000,2019-10-04 13:29:56.130000,
dbo,Channel_Offer_Forecast,1568932,20,0,0,2019-08-26 15:03:48.263000,2019-10-14 13:11:34.657000,
dbo,Channel_Offer_Forecast_Archive,2736183,21,0,0,2022-03-28 09:22:31.550000,2022-03-28 09:38:41.807000,
dbo,Channel_Offer_Forecast_Backup,0,5,0,0,2019-08-10 06:58:39.430000,2019-08-10 06:58:39.430000,
dbo,Channel_Offer_Forecast_Frozen,3451008,22,0,0,2019-10-25 12:40:20.577000,2026-03-28 09:39:14.347000,
dbo,Channel_Offer_SKU_Control,112212,5,0,0,2019-08-20 11:44:38.793000,2019-08-20 12:04:53.817000,
dbo,Channel_Offer_SKU_Forecast,11538283,21,0,0,2019-08-20 15:55:57.303000,2025-03-25 03:39:01.563000,
dbo,Channel_Offer_SKU_Forecast_Archive,24635292,22,0,0,2022-03-28 09:54:15.873000,2022-03-28 09:54:15.873000,
dbo,Channel_Offer_SKU_Inventory_History,448102,5,0,0,2020-01-16 11:46:02.600000,2020-01-16 11:46:03.743000,
dbo,Channel_Offer_SKU_Store_Control,0,6,0,0,2019-08-20 11:45:30.600000,2019-08-20 12:18:20.450000,
dbo,channel_offer_sku_store_control_test,611674,6,0,0,2020-01-07 14:39:59.700000,2020-01-07 14:39:59.700000,
dbo,Channel_Offer_SKU_Store_Forecast,0,8,0,0,2019-08-05 16:08:04.437000,2019-11-18 13:26:36.033000,
dbo,channel_offer_sku_store_forecast_test,12969248,8,0,0,2020-01-07 14:35:31.713000,2020-01-07 14:35:31.713000,
dbo,Channel_SKU_SIZE_Weekly_Demand_History,1367399,11,0,0,2020-02-10 06:50:58.130000,2020-02-10 06:50:58.130000,
dbo,Current_Offer_Inventory,7669,8,0,0,2019-10-18 05:58:49.380000,2026-06-17 06:01:14.287000,
dbo,Current_Offer_Inventory_backup,13767,6,0,0,2019-10-04 14:08:45.897000,2019-10-04 14:08:45.897000,
dbo,Current_Offer_Inventory_FirstOfWeek,7699,8,0,0,2019-10-18 06:03:01.970000,2019-10-18 06:03:01.970000,
dbo,Current_SKU_Available_DC_Inventory,34388,6,0,0,2019-10-18 05:59:42.120000,2026-06-17 06:01:22.643000,
dbo,Current_SKU_Available_DC_Inventory_backup,32164,3,0,0,2019-10-04 14:32:12.410000,2019-10-04 14:32:12.410000,
dbo,Current_SKU_Available_DC_Inventory_FirstOfWeek,34713,6,0,0,2019-10-18 06:03:56.450000,2019-10-18 06:03:56.450000,
dbo,Current_Store_Available_Inventory,0,5,0,0,2019-08-14 17:01:41.483000,2019-08-15 07:18:31.423000,
dbo,Current_Store_Available_Inventory_Adjustments,0,6,0,0,2019-09-12 09:54:01.877000,2019-09-12 09:54:01.877000,
dbo,DB_Errors,0,9,0,0,2019-09-12 16:41:56.490000,2019-09-12 16:41:56.490000,
dbo,Forecast_Job_Log,221032,2,0,0,2021-12-14 19:54:26.097000,2021-12-14 19:56:58.260000,
dbo,Inventory_History,22147,7,0,0,2019-07-31 08:05:26.707000,2019-07-31 08:05:51.110000,
dbo,Kubix_Attributes,17141,33,0,0,2024-11-17 06:45:36.503000,2024-11-17 06:45:36.503000,
dbo,Markdown_Model_Headers,3,7,0,0,2019-09-16 14:45:30.070000,2019-09-16 14:45:30.070000,
