Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,CurrentBaselineUnits,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,DirectPickLiftProjection,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,GapVsHybrid10Cap085,ProjectionToHybridRatio
Girls,G dress,G SL dress,Dress,41008.0,37422.0,1386.0,19404.0,2.113378684807256,55785.0,28.0,1992.3214285714287,58947.41496598639,7925.0,965.0,0.6088405797101449,0.469772281943823,4709.0,11287.0,11287.0,11287.0,11287.0,11801.0,11801.0,11801.0,11801.0,26610.785737864997,47146.41496598639,4.995120325903431
Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,39257.0,52481.0,1943.7407407407406,27212.37037037037,1.442615967139128,57681.0,28.0,2060.035714285714,41605.76580027602,11344.0,1242.0,0.6000000000000001,0.5196237617429078,7132.0,16631.0,16631.0,16631.0,16631.0,17210.0,17210.0,17210.0,17210.0,27748.149731913792,24395.76580027602,2.4175343288945976
Girls,G dress,G SS dress,Dress,22804.0,14993.0,555.2962962962963,7774.148148148148,2.9333117359529686,17328.0,28.0,618.8571428571429,25414.21288029652,7812.0,1044.0,0.7000000000000001,0.5152291479822382,5608.0,3408.0,3408.0,3408.0,3408.0,3736.0,3736.0,3736.0,3736.0,10515.083083401465,21678.21288029652,6.802519507574015
Kids Unisex,KU top,KU SS top,Top,12330.0,9980.0,369.6296296296296,5174.814814814815,2.382693959347266,22284.0,28.0,795.8571428571429,26547.976095047237,6320.0,698.0,0.61,0.42603205217877876,3542.0,6190.0,6190.0,6190.0,6190.0,6611.0,6611.0,6611.0,6611.0,13387.468118885725,19936.976095047237,4.015727740893547
Girls,G short,G k short,Short,25335.0,23204.0,859.4074074074074,12031.703703703704,2.1056868273942917,21066.0,28.0,752.3571428571429,22179.199352944073,4256.0,432.0,0.6,0.42290000000000005,3939.0,4463.0,4463.0,4463.0,4463.0,4696.0,4696.0,4696.0,4696.0,11537.044301758451,17483.199352944073,4.722998158633747
Boys,B top,B SS top,Top,24445.0,16324.0,604.5925925925926,8464.296296296296,2.888013267056394,13481.0,28.0,481.4642857142857,19466.653426593624,6969.0,839.0,0.63,0.47513891216977416,4200.0,2689.0,2689.0,2689.0,2689.0,3007.0,3007.0,3007.0,3007.0,6951.773671038231,16459.653426593624,6.473778991218365
Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,18989.0,21400.0,792.5925925925926,11096.296296296296,1.7112917222963953,29279.0,28.0,1045.6785714285713,25052.455168558074,10539.0,1299.0,0.8,0.4595722482698279,11318.0,8394.0,8394.0,8394.0,8394.0,8818.0,8818.0,8818.0,8818.0,14639.240037111744,16234.455168558074,2.841058649190074
Girls,G sets,G SL set,Set,5135.0,1888.0,69.92592592592592,978.9629629629629,5.245346549636804,5088.0,28.0,181.71428571428572,13344.16162227603,1505.0,179.0,0.58,0.40479227511807825,1472.0,892.0,892.0,892.0,892.0,993.0,993.0,993.0,993.0,2763.946220394543,12351.16162227603,13.438229226864078
Baby Apparel,Bby sets,Bby SS set,Set,12503.0,8938.0,331.037037037037,4634.518518518518,2.6977991241249244,10917.0,28.0,389.89285714285717,14725.9365190359,3388.0,435.0,0.6103389830508474,0.48215026123153804,3847.0,3103.0,3103.0,3103.0,3103.0,3291.0,3291.0,3291.0,3291.0,7056.979218705549,11434.9365190359,4.474608483450592
Kids Unisex Sleep,S KU LJ,S KU LJ print,Sleep,11382.0,13211.0,489.2962962962963,6850.148148148148,1.661569903867989,15981.0,28.0,570.75,13276.774316857165,15072.0,1706.0,0.8,0.4338615362272617,15765.0,3881.0,3881.0,3881.0,3881.0,4254.0,4254.0,4254.0,4254.0,8532.0953019558,9022.774316857165,3.1210094773994275
Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,Sleep,9178.0,4489.0,166.25925925925927,2327.6296296296296,3.9430671800910164,5595.0,28.0,199.82142857142858,11030.730436304619,8108.0,1005.0,0.7000000000000001,0.4800490791548905,5477.0,2077.0,2077.0,2077.0,2077.0,2186.0,2186.0,2186.0,2186.0,2547.566015972402,8844.730436304619,5.0460797970286455
Girls,G pant,G k pant,Pant,14438.0,9473.0,350.85185185185185,4911.925925925926,2.9393765740224094,6712.0,28.0,239.71428571428572,9864.547782419206,5187.0,597.0,0.6003333333333334,0.4234605273912293,11473.0,1776.0,1776.0,1776.0,1776.0,1963.0,1963.0,1963.0,1963.0,5130.946686469848,7901.547782419206,5.025240846876824
Boys,B swimwear,B swim rash guard,Swim,10753.0,10735.0,397.5925925925926,5566.2962962962965,1.9318051766584603,12323.0,28.0,440.10714285714283,11902.817595981103,2089.0,247.0,0.63,0.42788461538461536,3649.0,3899.0,3899.0,3899.0,3899.0,4006.0,4006.0,4006.0,4006.0,6015.3696829355185,7896.817595981103,2.9712475277037202
Girls,G sweater,G swtr cardigan,Sweater,15.0,1.0,0.037037037037037035,0.5185185185185185,28.92857142857143,474.0,28.0,16.928571428571427,6856.071428571428,714.0,78.0,0.7000000000000001,0.39230836120401336,1237.0,153.0,153.0,153.0,153.0,165.0,165.0,165.0,165.0,266.62020590866103,6691.071428571428,41.55194805194805
Girls,G top,G SL top,Top,5972.0,4610.0,170.74074074074073,2390.3703703703704,2.4983576076851564,5927.0,28.0,211.67857142857142,7403.882770374961,985.0,135.0,0.5700000000000001,0.530625,1432.0,1274.0,1274.0,1274.0,1274.0,1348.0,1348.0,1348.0,1348.0,2916.1585021259802,6055.882770374961,5.492494636776677
Baby Apparel,Bby dress,Bby SL dress,Dress,6612.0,5656.0,209.4814814814815,2932.740740740741,2.254546373004647,6618.0,28.0,236.35714285714286,7460.293948272377,2381.0,321.0,0.6088405797101449,0.46296998071268847,2325.0,1394.0,1394.0,1394.0,1394.0,1496.0,1496.0,1496.0,1496.0,3126.81831033926,5964.293948272377,4.986827505529663
Girls,G skirt,G k skirt,Skirt,7473.0,3623.0,134.1851851851852,1878.5925925925926,3.977977997713024,3320.0,28.0,118.57142857142857,6603.44347620362,974.0,130.0,0.62,0.5095982905982905,1348.0,626.0,626.0,626.0,626.0,697.0,697.0,697.0,697.0,2000.14897007225,5906.44347620362,9.474093940033887
Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,Sleep,16409.0,5086.0,188.37037037037038,2637.185185185185,6.222164485141284,2317.0,28.0,82.75,7208.377556036177,6814.0,866.0,0.8,0.39917632469861164,6348.0,1239.0,1239.0,1239.0,1239.0,1335.0,1335.0,1335.0,1335.0,2174.7454108818397,5873.377556036177,5.399533749839833
Boys,B swimwear,B swim trunk,Swim,7613.0,8847.0,327.6666666666667,4587.333333333334,1.6595698299665744,12114.0,28.0,432.64285714285717,10052.01446010754,2802.0,318.0,0.64,0.4270288115246098,2415.0,4125.0,4125.0,4125.0,4125.0,4241.0,4241.0,4241.0,4241.0,5947.222354186476,5811.014460107541,2.370199118157873
Girls,G dress,G LS dress,Dress,3590.0,2367.0,87.66666666666667,1227.3333333333335,2.9250407387289514,4923.0,28.0,175.82142857142858,7199.987778381314,10249.0,1311.0,0.7000000000000001,0.4899992668621701,7208.0,1341.0,1341.0,1341.0,1341.0,1458.0,1458.0,1458.0,1458.0,2471.211162228037,5741.987778381314,4.938263222483754
Baby Apparel,Bby swimwear,Bby swim rash guard,Swim,7189.0,6605.0,244.62962962962962,3424.814814814815,2.099091597274792,6849.0,28.0,244.60714285714286,7188.339174867525,1442.0,150.0,0.6,0.3636112,2341.0,1529.0,1529.0,1529.0,1529.0,1618.0,1618.0,1618.0,1618.0,3627.4773350539376,5570.339174867525,4.442731257643711
