Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,Sale2025Share,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,CurrentExpectedBy2025Lift,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,GapVsHybrid10Cap085,LiftExpectedToHybridRatio
Girls,G dress,G SL dress,Dress,41310.0,36664.0,1309.4285714285713,18332.0,2.253436613571896,0.08712065293038362,19.0,2147.5263157894738,67750.40200052828,11287.0,11287.0,11287.0,11287.0,11801.0,11801.0,11801.0,11801.0,26610.785737864997,7925.0,965.0,0.6088405797101449,0.469772281943823,4709.0,55949.40200052828,5.741072959963416
Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,39023.0,51427.0,1836.6785714285713,25713.5,1.5176074824508528,0.0822974882426134,19.0,1991.0526315789473,42302.9092029274,16631.0,16631.0,16631.0,16631.0,17210.0,17210.0,17210.0,17210.0,27748.149731913792,11344.0,1242.0,0.6000000000000001,0.5196237617429078,7132.0,25092.909202927403,2.4580423708847996
Girls,G dress,G SS dress,Dress,23048.0,14704.0,525.1428571428571,7352.0,3.134929270946681,0.04860703966931691,19.0,646.6315789473684,28380.01970104805,3408.0,3408.0,3408.0,3408.0,3736.0,3736.0,3736.0,3736.0,10515.083083401465,7812.0,1044.0,0.7000000000000001,0.5152291479822382,5608.0,24644.01970104805,7.596365016340485
Kids Unisex,KU top,KU SS top,Top,12355.0,9775.0,349.10714285714283,4887.5,2.5278772378516625,0.026056055844950122,19.0,811.3157894736842,28712.694036882487,6190.0,6190.0,6190.0,6190.0,6611.0,6611.0,6611.0,6611.0,13387.468118885725,6320.0,698.0,0.61,0.42603205217877876,3542.0,22101.694036882487,4.343169571454014
Girls,G short,G k short,Short,25295.0,22582.0,806.5,11291.0,2.2402798689221504,0.053345846426387164,19.0,768.0526315789474,24089.139883185955,4463.0,4463.0,4463.0,4463.0,4696.0,4696.0,4696.0,4696.0,11537.044301758451,4256.0,432.0,0.6,0.42290000000000005,3939.0,19393.139883185955,5.1297146258913875
Boys,B top,B SS top,Top,24556.0,15881.0,567.1785714285714,7940.5,3.092500472262452,0.0517873336567054,19.0,513.3684210526316,22226.289183698493,2689.0,2689.0,2689.0,2689.0,3007.0,3007.0,3007.0,3007.0,6951.773671038231,6969.0,839.0,0.63,0.47513891216977416,4200.0,19219.289183698493,7.391516190122545
Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,19000.0,20945.0,748.0357142857143,10472.5,1.814275483408928,0.040070017082480966,19.0,1007.8947368421053,25600.38195273335,8394.0,8394.0,8394.0,8394.0,8818.0,8818.0,8818.0,8818.0,14639.240037111744,10539.0,1299.0,0.8,0.4595722482698279,11318.0,16782.38195273335,2.9031959574431108
Girls,G sets,G SL set,Set,5131.0,1887.0,67.39285714285714,943.5,5.438261791202968,0.01082101356053736,19.0,194.1578947368421,14782.340445708867,892.0,892.0,892.0,892.0,993.0,993.0,993.0,993.0,2763.946220394543,1505.0,179.0,0.58,0.40479227511807825,1472.0,13789.340445708867,14.886546269596039
Baby Apparel,Bby sets,Bby SS set,Set,12509.0,8781.0,313.60714285714283,4390.5,2.8491060243708004,0.02638083387814497,19.0,406.94736842105266,16232.106785583708,3103.0,3103.0,3103.0,3103.0,3291.0,3291.0,3291.0,3291.0,7056.979218705549,3388.0,435.0,0.6103389830508474,0.48215026123153804,3847.0,12941.106785583708,4.932271888661108
Kids Unisex Sleep,S KU LJ,S KU LJ print,Sleep,11418.0,12800.0,457.14285714285717,6400.0,1.7840625,0.024079971318303563,19.0,610.0526315789474,15237.208322368422,3881.0,3881.0,3881.0,3881.0,4254.0,4254.0,4254.0,4254.0,8532.0953019558,15072.0,1706.0,0.8,0.4338615362272617,15765.0,10983.208322368422,3.581854330599065
