Year,Date,RelativeDay,Units
2024,2024-06-18,0,13506.0
2024,2024-06-19,1,12735.0
2024,2024-06-20,2,12735.0
2024,2024-06-21,3,12735.0
2024,2024-06-22,4,12940.0
2024,2024-06-23,5,13466.0
2024,2024-06-24,6,13466.0
2024,2024-06-25,7,13466.0
2024,2024-06-26,8,47166.0
2024,2024-06-27,9,32510.0
2024,2024-06-28,10,28997.0
2024,2024-06-29,11,31453.0
2024,2024-06-30,12,40409.0
2024,2024-07-01,13,52690.0
2024,2024-07-02,14,42329.0
2024,2024-07-03,15,52959.0
2024,2024-07-04,16,38918.0
2024,2024-07-05,17,39471.0
2024,2024-07-06,18,50518.0
2025,2025-06-21,0,40346.0
2025,2025-06-22,1,39574.0
2025,2025-06-23,2,35723.0
2025,2025-06-24,3,24400.0
2025,2025-06-25,4,38369.0
2025,2025-06-26,5,35769.0
2025,2025-06-27,6,43610.0
2025,2025-06-28,7,35119.0
2025,2025-06-29,8,40736.0
2025,2025-06-30,9,39888.0
2025,2025-07-01,10,28413.0
2025,2025-07-02,11,21546.0
2025,2025-07-03,12,16594.0
2025,2025-07-04,13,41201.0
2026,2026-06-18,0,36157.26681127982
2026,2026-06-19,1,26873.6442516269
2026,2026-06-20,2,27228.30802603037
2026,2026-06-21,3,35894.65835140997
2026,2026-06-22,4,21713.66594360087
2026,2026-06-23,5,40470.16092417897
2026,2026-06-24,6,32102.44527706567
2026,2026-06-25,7,37322.16321340413
2026,2026-06-26,8,31563.00532439362
2026,2026-06-27,9,32274.57218606894
2026,2026-06-28,10,36375.97796680397
2026,2026-06-29,11,29377.87418655098
2026,2026-06-30,12,26578.43674763414
2026,2026-07-01,13,42164.18758392728
