WorkbookSnapshotDate,CaseQtySource,SKUs,MedianCaseQty
2026-03-30,Class,13075,63.0
2026-03-30,Default,2203,36.0
2026-03-30,Dept,128,65.0
2026-03-30,Div,22,63.0
2026-03-30,SKU,22044,64.0
2026-04-13,Class,12738,62.0
2026-04-13,Default,2147,36.0
2026-04-13,Dept,128,66.0
2026-04-13,Div,22,63.0
2026-04-13,SKU,24118,64.0
2026-04-21,Class,12511,62.0
2026-04-21,Default,2172,36.0
2026-04-21,Dept,128,65.0
2026-04-21,Div,22,63.0
2026-04-21,SKU,23885,64.0
2026-04-27,Class,11767,62.0
2026-04-27,Default,2212,36.0
2026-04-27,Dept,74,67.0
2026-04-27,Div,22,62.0
2026-04-27,SKU,24063,62.0
2026-05-04,Class,9311,62.0
2026-05-04,Default,2074,36.0
2026-05-04,Dept,64,65.0
2026-05-04,Div,22,62.0
2026-05-04,SKU,24311,62.0
2026-05-11,Class,7658,62.0
2026-05-11,Default,2111,36.0
2026-05-11,Dept,113,65.0
2026-05-11,Div,22,62.0
2026-05-11,SKU,25693,64.0
2026-05-18,Class,7157,61.0
2026-05-18,Default,2080,36.0
2026-05-18,Dept,67,66.0
2026-05-18,Div,21,63.0
2026-05-18,SKU,25970,64.0
2026-05-26,Class,6599,60.0
2026-05-26,Default,2073,36.0
2026-05-26,Dept,64,66.0
2026-05-26,Div,21,63.0
2026-05-26,SKU,25535,64.0
