Policy,EffectiveFromEST,AfterCutover,SnapshotRows,LegacyChangesFromPrior,TargetChangesFromPriorState,AppliedStableChanges,StableVsLegacyDifferences,StableAA,StableA,StableB,StableC
forecast_cartons_only,2026-05-04T15:54:00-04:00,False,34627,0,15323,15323,15323,3385,3138,2521,25583
forecast_cartons_only,2026-05-12T18:15:00-04:00,True,35546,2805,2498,2498,16030,3385,3138,2521,27481
forecast_cartons_only,2026-05-18T16:13:00-04:00,True,35300,3167,3077,3077,17028,3385,3138,2521,28563
forecast_cartons_only,2026-05-28T13:47:00-04:00,True,34361,4746,8480,8480,14453,3385,3138,2521,28969
forecast_cartons_only,2026-06-01T17:09:02-04:00,True,33790,4203,6719,6719,15356,3385,3138,2521,30282
all_consumed_recent_only,2026-05-04T15:54:00-04:00,False,34627,0,10492,10492,10492,3385,3138,2521,25583
all_consumed_recent_only,2026-05-12T18:15:00-04:00,True,35546,2805,1775,1775,11585,3385,3138,2521,27481
all_consumed_recent_only,2026-05-18T16:13:00-04:00,True,35300,3167,2826,2826,12888,3385,3138,2521,28563
all_consumed_recent_only,2026-05-28T13:47:00-04:00,True,34361,4746,3716,3716,13409,3385,3138,2521,28969
all_consumed_recent_only,2026-06-01T17:09:02-04:00,True,33790,4203,1837,1837,13776,3385,3138,2521,30282
hybrid_immediate,2026-05-04T15:54:00-04:00,False,34627,0,10672,10672,10672,3385,3138,2521,25583
hybrid_immediate,2026-05-12T18:15:00-04:00,True,35546,2805,4417,4417,12085,3385,3138,2521,27481
hybrid_immediate,2026-05-18T16:13:00-04:00,True,35300,3167,4221,4221,13404,3385,3138,2521,28563
hybrid_immediate,2026-05-28T13:47:00-04:00,True,34361,4746,7470,7470,12917,3385,3138,2521,28969
hybrid_immediate,2026-06-01T17:09:02-04:00,True,33790,4203,3703,3703,13390,3385,3138,2521,30282
hybrid_two_confirmation,2026-05-04T15:54:00-04:00,False,34627,0,10672,0,0,3385,3138,2521,25583
hybrid_two_confirmation,2026-05-12T18:15:00-04:00,True,35546,2805,11188,7801,9100,3570,2327,1875,28753
hybrid_two_confirmation,2026-05-18T16:13:00-04:00,True,35300,3167,5668,2078,12180,3283,2746,2338,29240
hybrid_two_confirmation,2026-05-28T13:47:00-04:00,True,34361,4746,7568,1244,13317,3138,2597,2254,30024
hybrid_two_confirmation,2026-06-01T17:09:02-04:00,True,33790,4203,7304,4487,13200,3546,2738,2021,31021
